10156519,9146882,1
1076207,813787,1
1076625,805878,1
13359919,13357959,1
5052294,4861031,1
7193064,9205898,1
7193064,11842553,1
1077208,2824801,1
5052400,4614981,1
1077358,1077326,1
1077358,4482308,1
1078093,15083164,1
7193586,5749858,1
1078169,8295561,1
1078169,9644503,1
7193792,7043918,1
1079173,9022778,1
13360961,13418792,1
1080139,600723,1
10158533,9811666,1
10159288,9048825,1
5054686,6415332,1
10159435,7161054,1
10159435,260701,1
1083067,4681998,1
1083276,1083338,1
7194917,7279534,1
1084121,8357445,1
13362937,12446298,1
5055235,9834073,1
5055261,9284880,1
5055261,14264692,1
5055261,2540631,1
1084815,1084632,1
13364402,9318735,1
1086526,996831,1
7195719,8255316,1
5055796,3394520,1
13364954,12962065,1
13365198,11407434,1
7195999,6119419,1
13366580,2687245,1
5056517,4320927,1
10163123,9688933,1
7196521,1744320,1
10163739,9200575,1
5057621,5152072,1
13368016,13364623,1
10164700,10411711,1
1089736,10512454,1
5058398,9427642,1
13368839,13278642,1
5058459,3297749,1
5058459,4744875,1
5058459,5338925,1
5058459,4793001,1
5058459,1618639,1
5058459,3956856,1
5058459,4915434,1
10166290,4000332,1
5058811,4416529,1
5059119,361676,1
1093151,978552,1
1093151,1631820,1
5059565,13185217,1
7198997,12181094,1
1095798,3916081,1
7199929,15883196,1
13373709,13373228,1
5060395,1505969,1
5060395,8524005,1
5060395,5598232,1
7200340,7200575,1
13374727,6557524,1
10169223,10230385,1
1098241,426950,1
5063350,2859917,1
13377819,10848621,1
5063996,6763127,1
5063996,5334342,1
13377930,8669740,1
1099009,2514567,1
13378884,13334819,1
5065065,4435948,1
5065065,4268803,1
7205366,7760473,1
7205401,8166275,1
1099300,748551,1
5066642,5637283,1
5067259,5205143,1
13380747,1221671,1
7206342,7407245,1
1099811,402950,1
1099811,1780874,1
1099811,535970,1
1099811,430256,1
1099811,678601,1
1099811,638703,1
1099811,828317,1
1099811,481704,1
1099811,1933002,1
10174639,4137206,1
10174639,3950368,1
10175729,1689716,1
1101033,4547233,1
1101905,2032752,1
7207196,12971115,1
1102489,970056,1
10177582,9857463,1
13383550,13533896,1
5070141,8947810,1
13383823,3176406,1
7208635,5649861,1
7208668,7036275,1
5070936,2986349,1
